vstar,idc,gm,ro,av,wbw,Cgg,Cdd,Css,vgs,drain_eff
1.04E-01,5.70E-06,1.10E-04,2.31E+05,25.37,2.68E+10,1.81E-16,2.26E-17,1.39E-16,4.08E-01,19.27
1.07E-01,7.14E-06,1.33E-04,1.89E+05,25.17,3.14E+10,1.88E-16,2.27E-17,1.46E-16,4.19E-01,18.68
1.11E-01,8.94E-06,1.61E-04,1.55E+05,24.96,3.69E+10,1.94E-16,2.27E-17,1.53E-16,4.32E-01,18.07
1.15E-01,1.12E-05,1.95E-04,1.27E+05,24.75,4.33E+10,2.01E-16,2.28E-17,1.59E-16,4.44E-01,17.45
1.19E-01,1.40E-05,2.35E-04,1.04E+05,24.5,5.09E+10,2.07E-16,2.28E-17,1.66E-16,4.57E-01,16.8
1.24E-01,1.75E-05,2.82E-04,8.57E+04,24.21,5.98E+10,2.13E-16,2.29E-17,1.72E-16,4.71E-01,16.11
1.30E-01,2.20E-05,3.37E-04,7.07E+04,23.85,7.03E+10,2.19E-16,2.29E-17,1.78E-16,4.85E-01,15.38
1.37E-01,2.75E-05,4.01E-04,5.84E+04,23.4,8.27E+10,2.25E-16,2.30E-17,1.84E-16,5.00E-01,14.6
1.45E-01,3.44E-05,4.73E-04,4.83E+04,22.85,9.74E+10,2.30E-16,2.30E-17,1.90E-16,5.16E-01,13.77
1.55E-01,4.31E-05,5.55E-04,4.00E+04,22.17,1.15E+11,2.36E-16,2.31E-17,1.95E-16,5.33E-01,12.89
1.67E-01,5.39E-05,6.45E-04,3.31E+04,21.37,1.35E+11,2.41E-16,2.32E-17,2.00E-16,5.51E-01,11.97
1.81E-01,6.75E-05,7.44E-04,2.75E+04,20.43,1.59E+11,2.46E-16,2.33E-17,2.05E-16,5.71E-01,11.03
1.99E-01,8.45E-05,8.49E-04,2.28E+04,19.35,1.88E+11,2.50E-16,2.34E-17,2.10E-16,5.92E-01,10.06
2.20E-01,1.06E-04,9.61E-04,1.89E+04,18.13,2.23E+11,2.54E-16,2.35E-17,2.14E-16,6.15E-01,9.086
2.46E-01,1.32E-04,1.08E-03,1.56E+04,16.78,2.65E+11,2.58E-16,2.36E-17,2.18E-16,6.42E-01,8.125
2.78E-01,1.66E-04,1.19E-03,1.29E+04,15.32,3.17E+11,2.61E-16,2.38E-17,2.21E-16,6.71E-01,7.19
3.18E-01,2.08E-04,1.31E-03,1.06E+04,13.78,3.81E+11,2.65E-16,2.40E-17,2.25E-16,7.04E-01,6.294
3.67E-01,2.60E-04,1.41E-03,8.60E+03,12.16,4.62E+11,2.67E-16,2.43E-17,2.27E-16,7.43E-01,5.448
4.29E-01,3.25E-04,1.51E-03,6.94E+03,10.51,5.66E+11,2.70E-16,2.47E-17,2.30E-16,7.87E-01,4.658
5.09E-01,4.07E-04,1.60E-03,5.52E+03,8.822,7.05E+11,2.72E-16,2.53E-17,2.32E-16,8.40E-01,3.928
